Region,Building_type,concrete,glass
1,Offices,905.1,6.5
1,Retail+,700.1,5.9
1,Hotels+,724.2,3.9
1,Govt+,1029.1,14.5
2,Offices,905.1,6.5
2,Retail+,700.1,5.9
2,Hotels+,724.2,3.9
2,Govt+,1029.1,14.5
3,Offices,905.1,6.5
3,Retail+,700.1,5.9
3,Hotels+,724.2,3.9
3,Govt+,1029.1,14.5
4,Offices,905.1,6.5
4,Retail+,700.1,5.9
4,Hotels+,724.2,3.9
4,Govt+,1029.1,14.5
5,Offices,905.1,6.5
5,Retail+,700.1,5.9
5,Hotels+,724.2,3.9
5,Govt+,1029.1,14.5
6,Offices,905.1,6.5
6,Retail+,700.1,5.9
6,Hotels+,724.2,3.9
6,Govt+,1029.1,14.5
7,Offices,905.1,6.5
7,Retail+,700.1,5.9
7,Hotels+,724.2,3.9
7,Govt+,1029.1,14.5
8,Offices,905.1,6.5
8,Retail+,700.1,5.9
8,Hotels+,724.2,3.9
8,Govt+,1029.1,14.5
9,Offices,905.1,6.5
9,Retail+,700.1,5.9
9,Hotels+,724.2,3.9
9,Govt+,1029.1,14.5
10,Offices,905.1,6.5
10,Retail+,700.1,5.9
10,Hotels+,724.2,3.9
10,Govt+,1029.1,14.5
11,Offices,905.1,6.5
11,Retail+,700.1,5.9
11,Hotels+,724.2,3.9
11,Govt+,1029.1,14.5
12,Offices,905.1,6.5
12,Retail+,700.1,5.9
12,Hotels+,724.2,3.9
12,Govt+,1029.1,14.5
13,Offices,905.1,6.5
13,Retail+,700.1,5.9
13,Hotels+,724.2,3.9
13,Govt+,1029.1,14.5
14,Offices,905.1,6.5
14,Retail+,700.1,5.9
14,Hotels+,724.2,3.9
14,Govt+,1029.1,14.5
15,Offices,905.1,6.5
15,Retail+,700.1,5.9
15,Hotels+,724.2,3.9
15,Govt+,1029.1,14.5
16,Offices,905.1,6.5
16,Retail+,700.1,5.9
16,Hotels+,724.2,3.9
16,Govt+,1029.1,14.5
17,Offices,905.1,6.5
17,Retail+,700.1,5.9
17,Hotels+,724.2,3.9
17,Govt+,1029.1,14.5
18,Offices,905.1,6.5
18,Retail+,700.1,5.9
18,Hotels+,724.2,3.9
18,Govt+,1029.1,14.5
19,Offices,905.1,6.5
19,Retail+,700.1,5.9
19,Hotels+,724.2,3.9
19,Govt+,1029.1,14.5
20,Offices,905.1,6.5
20,Retail+,700.1,5.9
20,Hotels+,724.2,3.9
20,Govt+,1029.1,14.5
21,Offices,905.1,6.5
21,Retail+,700.1,5.9
21,Hotels+,724.2,3.9
21,Govt+,1029.1,14.5
22,Offices,905.1,6.5
22,Retail+,700.1,5.9
22,Hotels+,724.2,3.9
22,Govt+,1029.1,14.5
23,Offices,905.1,6.5
23,Retail+,700.1,5.9
23,Hotels+,724.2,3.9
23,Govt+,1029.1,14.5
24,Offices,905.1,6.5
24,Retail+,700.1,5.9
24,Hotels+,724.2,3.9
24,Govt+,1029.1,14.5
25,Offices,905.1,6.5
25,Retail+,700.1,5.9
25,Hotels+,724.2,3.9
25,Govt+,1029.1,14.5
26,Offices,905.1,6.5
26,Retail+,700.1,5.9
26,Hotels+,724.2,3.9
26,Govt+,1029.1,14.5
