,flow,type,area,material,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,inflow,detached,rural,steel,203.5068702,196.7465741,186.3530149,176.4508884,166.5441869,156.1808427,175.8000338,172.0645568,166.7614749,161.0817014,155.1286842,140.9421862,134.5587561,130.4137229,122.1502674,113.1912971,152.3480062,146.7666739,141.4551906,136.2623742,132.0712997,123.570658,118.263163,113.495591,108.9126367,104.5444588,129.4235459,126.9651327,124.213422,120.5866648,116.3128883,107.1878393,102.7295096,98.23103665,93.63505401,88.84181019,119.1387251,115.7018244,112.1991833,108.6479924,105.027628,90.23318463,86.32314389,82.38115742,78.38755655,74.35570916
2,inflow,detached,rural,steel,31.74990089,59.770364,53.2278174,46.87336875,40.93427971,36.85023698,51.68958916,51.50058454,51.25633264,50.96822121,50.62911773,30.04291413,30.46014574,30.71401352,30.96209741,31.16434165,72.66794182,74.08551972,75.21017877,76.2337614,76.96973807,65.52314352,66.67126156,67.45611351,68.05427555,68.43533504,116.0056618,117.2113946,118.1389864,118.7477863,118.9749695,111.2191491,111.0358142,110.4742193,109.5838101,108.2582833,154.9259005,153.4104165,151.4692817,149.0731004,146.2861215,172.2560996,168.7955099,164.8344135,160.4629799,155.550472
3,inflow,detached,rural,steel,488.5304956,460.7795089,457.2094582,452.6521951,447.1103813,434.1190514,482.5559644,475.6358351,468.0536809,459.790208,450.9457911,410.0636308,400.566348,391.1925904,381.6394906,371.4470078,403.6988406,396.1171589,388.1617545,379.7748488,371.6053174,323.1351022,314.3724246,305.5903224,296.4705754,287.0584076,328.0203792,320.2392505,312.2209126,303.9607695,295.4653231,265.0801011,256.4105684,247.4818135,238.1869629,228.9590323,359.378648,350.0200945,340.4829714,330.8365234,321.0419697,238.920284,228.7097704,218.5871411,208.3029389,197.9097614
4,inflow,detached,rural,steel,491.8331052,490.581609,489.8171001,488.8751984,484.0628201,477.5913919,551.8407408,557.4754474,563.2851191,567.6682441,571.1001047,538.3627497,538.9649743,538.1973211,535.5646315,532.50864,555.5103361,554.5327785,554.4978727,554.0878287,554.8934818,521.22348,515.0027367,511.7453991,508.0188307,503.8048113,526.816418,523.8800715,520.4322143,516.5948258,512.2303323,477.8533993,472.9977263,467.7317546,462.1039221,455.9313924,631.9279346,629.1951022,626.4261911,623.3143782,620.1626906,402.9747386,396.0923422,389.0297871,382.0127589,374.8941595
5,inflow,detached,rural,steel,246.1239524,343.1917459,341.3907176,338.5706048,334.8360118,330.5855994,341.4974126,339.2362251,336.9534005,334.1308299,331.008992,231.0352517,226.4924726,221.3136922,218.3971842,212.4924662,233.0095109,229.4735824,228.6538862,224.918344,241.4610024,206.4839348,203.9449724,201.3276031,198.3259789,195.2272537,229.503088,228.7460109,227.7376382,226.086993,223.82261,186.2132075,183.4468852,180.6250067,177.6120313,174.1948111,223.2344664,219.529177,215.7638854,211.763461,207.6786343,209.7416184,205.6870673,201.6640565,197.3535897,193.0376832
6,inflow,detached,rural,steel,1008.185367,891.4618554,891.4699763,888.9357617,884.1333579,874.1693031,852.7972097,847.6877984,840.9371746,832.7616615,823.3224276,724.9340097,712.4387642,702.4633863,693.0912766,682.2635751,700.8092507,695.018253,688.8936308,681.2940471,664.3873194,582.6421525,571.7983716,560.5867732,548.0458937,534.4925608,586.5031327,576.9397841,566.7055194,555.5726067,543.4454965,479.8985326,467.9311261,454.3355169,439.8373346,422.8531172,47.22749907,21.73157227,0,0,0,417.4457493,402.9463829,388.3853873,373.7022097,358.8433014
7,inflow,detached,rural,steel,1170.811425,1364.713782,1433.760807,1441.744383,1448.485351,1452.416345,1458.79198,1462.603592,1466.761237,1468.98833,1467.83145,1327.514635,1316.168603,1304.257301,1292.299831,1276.988882,1253.688597,1256.191474,1261.629566,1265.685141,1267.580513,1122.038957,1118.213727,1118.467695,1117.96763,1116.84637,1101.787947,1106.514835,1113.174354,1120.982899,1130.104109,1029.19899,1046.422986,1071.416791,1108.360282,1159.468688,2617.254888,2655.022108,2692.491057,2729.991635,2767.084429,1143.08208,1136.394881,1128.721612,1120.484485,1111.110747
8,inflow,detached,rural,steel,766.7300865,828.6336875,835.9935608,843.5261731,850.6625494,858.4162611,938.1731505,952.7078269,967.9939153,983.8770714,1000.214103,1029.525911,1045.877135,1060.684248,1076.494859,1091.678055,1122.961205,1139.001944,1156.293213,1173.388353,1190.08854,1186.986616,1201.436444,1217.816047,1234.145146,1250.273593,1322.072554,1342.568971,1362.957889,1383.716446,1404.799566,1407.645148,1428.563197,1449.963421,1472.513306,1494.240576,1969.18526,2032.349978,2096.912125,2162.63055,2229.685451,2320.102059,2392.838506,2466.331495,2539.770201,2614.096875
9,inflow,detached,rural,steel,1391.983931,1674.593086,1711.872171,1751.410581,1793.281737,1837.631844,1850.859312,1895.080224,1941.704756,1990.832537,2042.599219,2122.091762,2182.407814,2245.998186,2312.99176,2383.576763,2434.892492,2511.625672,2592.358674,2677.236874,2766.512648,2912.94464,3019.456703,3131.617529,3249.722135,3374.018222,3533.404824,3677.312743,3828.786085,3988.10302,4155.62019,4286.112067,4470.950748,4664.795211,4867.801127,5080.282458,4659.122611,4837.102266,5021.601064,5208.766448,5402.46409,6009.055289,6251.194384,6500.181826,6755.018245,7016.372241
10,inflow,detached,rural,steel,193.3752271,283.5061227,302.8100127,321.8160034,341.2297055,351.6319852,358.1858041,371.1838219,384.4490803,397.5416702,410.9823962,361.9814233,372.3010881,382.1685386,391.6416293,400.402799,395.2363697,404.1246226,412.6123617,420.4210365,426.6306797,394.8033209,400.0136836,404.5934027,408.596096,411.572746,415.4199162,419.8160808,423.2699697,424.951633,425.070583,388.8714048,386.9148227,383.8593032,379.0969753,371.3368035,289.6751575,286.6107372,283.2746871,279.7506085,276.0047902,276.3860931,272.8938052,269.2680785,265.4047133,261.4486081
