Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,31089.13625817813,30173.961336313136,30514.97562699165,30757.514655747043,30981.727237956162,31191.284981055036,30589.077688340392,30750.74690206212,30903.684927155657,30921.125838761734,30871.898684356045,31940.006231662028,32108.504733156078,32297.023564776664,32494.739195086993,32749.269409386678,32594.949008520838,32782.48029247193,33019.54561256232,33283.69516004065,33572.29829170319,33367.6385097707,33774.26512518959,34163.20726691345,34476.435032507645,34731.65090846704,34302.90194659014,34534.855940349604,34765.84772676003,34992.5193949642,35198.59313052977,34838.14520604115,35115.23632783617,35390.54655110999,35663.42817052859,35935.31729732617,36126.47300172729,36386.728651410194,36646.399148123324,36903.65768841319,37158.852385344675
2,137126.03327336066,126268.50283292017,127897.42377333563,129478.79398373557,131045.19069560395,132585.84687703993,127348.26958343397,128980.83178834361,130609.71943633014,132204.86777423785,133782.43291931102,129194.72226554128,130744.25074856833,132250.97349050018,133742.70845697948,135185.122179992,132269.52738345822,133787.4649426967,135232.05448105748,136670.9332283501,138100.49895924365,135202.51823962026,136629.37229287167,138033.6771452736,139409.84658908134,140754.93157561446,138882.23237225137,140188.22202580725,141473.49725052633,142747.4129073803,144005.95708679254,145192.04108995834,146410.01239454423,147601.0388064131,148782.27513623293,149928.8611750416,151590.65549872187,152698.15086897305,153778.54498093468,154836.45580184515,155871.07254091656
3,62197.605666638396,61473.374970662815,62644.62309201936,63790.94548359214,64931.67573386053,66062.2147585693,64651.1564394609,65692.129405592,66804.91739966739,67934.709326775,69049.7337699313,66529.8749125574,67570.77063933558,68612.00104308904,69639.86859850281,70716.4443060633,67858.15436021675,68781.53923067631,69718.73317636807,70646.84966932492,71566.11259237952,69723.55734598367,70571.44877245996,71404.11797992351,72222.42174825912,73024.16495283152,71479.59129213095,72184.51723349557,72860.74735232699,73503.2801557487,74143.85320365225,81503.1920676827,82169.81132426765,82802.96961597663,83415.39571413698,83996.44070458625,80885.95834975863,81346.18808402521,81775.26551961586,82175.77394477728,82539.21806826688
4,27940.197443198926,29267.151801250984,30243.32667441393,31269.85980708365,32299.626779057013,33344.17944605879,32993.84971127815,33981.10234350279,34980.715176670245,35946.75730688142,36938.06422720977,36420.816135810324,37405.47099275795,38447.30297772683,39501.84632211598,38996.40013459885,38662.28417527157,39467.21549918924,40386.513482028226,41315.79577310165,42249.08704865947,41774.121988567815,42677.91775782352,43574.72278982411,44467.47646271667,45350.25144601488,44576.88985110247,45399.45580455296,46206.74791906182,47002.068596236226,47776.103962294124,46147.29767591733,46672.60285442405,47167.45645747163,47638.176076466734,48072.405354200106,46578.640059631594,46906.79208440831,47195.727751928054,47449.89388368903,47675.39447555607
5,83405.18174767756,72562.83867412864,74355.49458515897,76211.90477613197,78066.37474674659,79965.9952330136,68930.71136134859,70313.21157965198,71667.14376535181,73427.56907007226,74799.98234177868,66740.54530656166,67789.920203837,69300.09536090647,70382.04387649393,73757.14664165894,70264.41003435646,71594.49834430318,72924.22942661023,74253.88400884833,75596.0179830175,71532.13711119651,72847.20633511228,74148.44301068303,75395.25643566762,76585.03154341558,71724.12983744995,72736.34573159573,73751.96395114814,74760.26610731761,75719.32269728465,80132.79481642938,80941.2211000592,81708.41229725687,82478.01434236177,83203.10841381695,80319.34123965084,80901.99838456814,81461.87580463948,81991.26485482937,82491.97108538855
6,94810.507625963,89055.94622146926,91621.73602367443,94192.39657420765,96788.69644487857,99411.90112434259,95722.9323728489,98081.90884315784,100698.62704002032,103462.40363902548,106244.13001663357,101288.35891037373,103876.8219930746,106547.06225289368,109187.14618348832,109835.47320546678,106232.03723640408,108589.86281054733,110969.99076134573,113330.28575563454,115689.17706443807,111963.15144774485,114164.54324222062,116363.46458914771,118523.21322036846,120649.36066949918,117321.47843362727,119420.80116916761,121316.22371627118,123157.3730824473,124777.86521579034,123867.52658353622,125262.03138072546,126636.99893969126,128147.70431809948,129610.23824678325,124834.25069564993,125877.81751449808,126870.05958476651,127800.21068105567,128692.97563918662
7,61533.68858962654,60709.9699598494,62372.775463147605,64121.748653957475,65898.65752854598,67665.1022827914,64779.927023901466,66231.12610974738,67727.49001941422,69294.8440168207,70828.8618893038,67878.38310352992,69730.6571892696,71739.43265270683,73780.67084834327,76006.88133940267,72353.56428711615,74177.70216126736,76183.02073950626,78249.02277453897,80368.8117159922,77422.4169100441,79564.52230711358,81829.43398186147,84199.42572394667,86679.41109562006,83751.31183456533,86431.08968766352,89443.9269889661,92955.69022679048,97075.93114120794,94485.38030548496,96347.30309179531,98196.54535976703,100039.1280709549,101854.63840056563,96593.46592776373,98192.79195950895,99754.85560792378,101308.59447818752,102820.92616739825
8,91115.24895591434,96527.29693799629,99703.50881036054,103047.78778770423,106557.27049010257,110227.25819342797,115219.24064946189,119205.37598970272,123224.93467182941,127481.91134631523,131857.6517326843,133285.3381615781,137682.85458440607,142344.05247209233,147172.32935893396,152174.12562678047,155850.23314979707,161039.92796062087,166606.78842943234,172418.30067429392,178467.3985633612,183638.87527140824,190236.49970471705,197108.26378910732,204320.10130597497,211886.4463482528,217885.75693044593,226111.89395814014,234780.54992059647,243988.91366602998,253566.65649542602,298368.2348517829,312864.59768131573,328051.65957827395,344014.38216953014,360726.26192864793,369876.8951955909,387549.7538280606,405966.33497874415,425145.9265206325,445088.9370818891
9,39135.53652932601,40031.5266116546,41284.11669159701,42602.86993568436,43993.30161771351,45459.342023446916,47475.89166689626,49171.001955818654,50963.82580712528,52855.299607149456,54855.737643433655,56641.276116487505,58849.2468860307,61181.58326431901,63643.84087704554,66268.22201776013,70067.83987280667,73136.06522384763,76361.72674208882,79741.13618585427,83298.01640982025,87299.179105348,91212.0165370937,95463.83889204625,100183.06481710449,105334.52311113768,109865.15919074976,115763.09672210402,122045.12138636786,128736.92923904948,135876.95896593167,137064.48528074613,144179.16915408062,151712.15523569856,159637.04567924235,168001.39851432416,173877.91246481333,182894.25010550037,192370.37511861828,202308.571219879,212726.38085209572
10,22479.335858695038,21898.251967013945,23010.204900040408,24172.127003173366,25372.623377846983,26635.279247107013,25062.094046663522,26186.824428710355,27338.573226058055,28519.408734396715,29717.724927488034,28276.083987824604,29354.45052493325,30452.162182794604,31555.212177381258,32664.132387490445,31703.5107249075,32729.03029839541,33753.01180590184,34787.022250739676,35802.36333062022,34399.09258105412,35345.27349684907,36266.96658551908,37125.75204597597,37926.872167139736,36437.54166159342,37099.74464761227,37715.011888570516,38248.28831375232,38617.649934069006,32583.144988320673,32975.58698069873,33358.28015722757,33722.09449528725,34075.697517835,33446.805881458546,33760.32983695502,34060.47621368258,34343.842410925194,34618.13719755711
